FECHA (YYMMDD);HORA (HHMM);;
260404;1900;71,3683;
260404;2000;78,4133;
260404;2100;84,825;
260404;2200;89,5;
260404;2300;89,175;
260405;0000;90,3667;
260405;0100;90,2916;
260405;0200;90,9833;
260405;0300;92,1917;
260405;0400;91,1667;
260405;0500;91,225;
260405;0600;92,1167;
260405;0700;90,5917;
260405;0800;84,5251;
260405;0900;71,1309;
260405;1000;64,6692;
260405;1100;44,7667;
260405;1200;32,5767;
260405;1300;29,3967;
260405;1400;27,9933;
260405;1500;26,7108;
260405;1600;27,5042;
260405;1700;39,0192;
260405;1800;48,8225;
260405;1900;54,5508;
260405;2000;54,9808;
260405;2100;55,3567;
260405;2200;56,735;
260405;2300;58,3483;
260406;0000;63,3717;
260406;0100;63,6133;
260406;0200;65,5692;
260406;0300;72,6875;
260406;0400;73,6193;
260406;0500;77,0634;
260406;0600;75,5782;
260406;0700;74,8567;
260406;0800;69,9983;
260406;0900;55,7192;
260406;1000;46,9275;
260406;1100;41,165;
260406;1200;41,6217;
260406;1300;41,3117;
260406;1400;36,6575;
260406;1500;40,2433;
260406;1600;48,4383;
260406;1700;57,4333;
260406;1800;60,9908;
260406;1900;63,965;
260406;2000;67,0508;
260406;2100;71,6609;
260406;2200;73,9109;
260406;2300;77,05;
260407;0000;78,7208;
260407;0100;81,1342;
260407;0200;83,5333;
260407;0300;81,925;
260407;0400;85,3167;
260407;0500;86,6417;
260407;0600;89,3333;
260407;0700;88,55;
260407;0800;80,9375;
260407;0900;69,1483;
260407;1000;62,2;
260407;1100;48,3775;
260407;1200;43,4267;
260407;1300;40,3042;
260407;1400;33,6058;
260407;1500;27,1242;
260407;1600;29,3758;
260407;1700;37,1742;
260407;1800;52,6308;
260407;1900;57,6125;
260407;2000;62,2017;
260407;2100;65,2393;
260407;2200;68,28;
260407;2300;69,8942;
260408;0000;71,5867;
260408;0100;73,1292;
260408;0200;75,2393;
260408;0300;76,0283;
260408;0400;78,0859;
260408;0500;79,8625;
260408;0600;81,6583;
260408;0700;80,2968;
260408;0800;72,0775;
260408;0900;65,3125;
260408;1000;58,425;
260408;1100;44,8883;
260408;1200;40,9333;
260408;1300;37,7292;
260408;1400;32,3625;
260408;1500;28,7917;
260408;1600;33,68;
260408;1700;45,77;
260408;1800;55,5467;
260408;1900;62,1475;
260408;2000;65,4567;
260408;2100;68,035;
260408;2200;68,4401;
260408;2300;69,7708;
260409;0000;68,7908;
260409;0100;70,8409;
260409;0200;71,3658;
260409;0300;71,2217;
260409;0400;72,9458;
260409;0500;72,2883;
260409;0600;72,2526;
260409;0700;69,8184;
260409;0800;65,9292;
260409;0900;59,6075;
260409;1000;55,4575;
260409;1100;54,7025;
260409;1200;50,0833;
260409;1300;47,4242;
260409;1400;49,2217;
260409;1500;57,4583;
260409;1600;67,1042;
260409;1700;68,8809;
260409;1800;71,9783;
260409;1900;73,2333;
260409;2000;75,0142;
260409;2100;75,9017;
260409;2200;76,0533;
260409;2300;76,1934;
260410;0000;77,7942;
