FECHA (YYMMDD);HORA (HHMM);;
201116;0100;9,33583;
201116;0200;9,32834;
201116;0300;8,8475;
201116;0400;8,62917;
201116;0500;8,53333;
201116;0600;9,69749;
201116;0700;13,8067;
201116;0800;13,8333;
201116;0900;14,895;
201116;1000;16,7867;
201116;1100;17,825;
201116;1200;18,1492;
201116;1300;18,7192;
201116;1400;19,4217;
201116;1500;19,5742;
201116;1600;18,3308;
201116;1700;17,94;
201116;1800;17,8067;
201116;1900;15,7325;
201116;2000;13,035;
201116;2100;12,2917;
201116;2200;11,6233;
201116;2300;10,9625;
201117;0000;10,3733;
201117;0100;9,79333;
201117;0200;9,24667;
201117;0300;8,86583;
201117;0400;8,46584;
201117;0500;7,78983;
201117;0600;9,22133;
201117;0700;12,9;
201117;0800;14,2967;
201117;0900;16,3592;
201117;1000;18,0775;
201117;1100;20,8192;
201117;1200;22,4767;
201117;1300;24,4192;
201117;1400;25,895;
201117;1500;26,6;
201117;1600;25,3183;
201117;1700;25,3717;
201117;1800;23,9467;
201117;1900;20,4842;
201117;2000;17,5892;
201117;2100;16,4925;
201117;2200;15,4608;
201117;2300;14,5183;
201118;0000;13,3708;
201118;0100;12,145;
201118;0200;11,0783;
201118;0300;9,20833;
201118;0400;8,07925;
201118;0500;7,13858;
201118;0600;8,62517;
201118;0700;13,6317;
201118;0800;16,2642;
201118;0900;18,8;
201118;1000;21,4725;
201118;1100;24,2583;
201118;1200;25,96;
201118;1300;27,9783;
201118;1400;28,9925;
201118;1500;28,2408;
201118;1600;26,5533;
201118;1700;27;
201118;1800;26,9608;
201118;1900;23,9233;
201118;2000;19,9725;
201118;2100;18,5392;
201118;2200;17,2675;
201118;2300;15,8642;
201119;0000;14,9492;
201119;0100;13,8392;
201119;0200;12,0158;
201119;0300;10,4475;
201119;0400;10,1167;
201119;0500;10,055;
201119;0600;11,1583;
201119;0700;16,3275;
201119;0800;20,4625;
201119;0900;22,4892;
201119;1000;24,6992;
201119;1100;26,42;
201119;1200;26,6508;
201119;1300;26,805;
201119;1400;27,1267;
201119;1500;27,3458;
201119;1600;26,6683;
201119;1700;26,5317;
201119;1800;26,0025;
201119;1900;23,3475;
201119;2000;19,7975;
201119;2100;18,1767;
201119;2200;17,1975;
201119;2300;16,2717;
201120;0000;15,0658;
201120;0100;14,3325;
201120;0200;13,9492;
201120;0300;13,4658;
201120;0400;12,9975;
201120;0500;13,0508;
201120;0600;15,0725;
201120;0700;18,8542;
201120;0800;21,385;
201120;0900;23,7008;
201120;1000;24,3167;
201120;1100;24,945;
201120;1200;23,9783;
201120;1300;24,4042;
201120;1400;24,4125;
201120;1500;21,145;
201120;1600;19,2067;
201120;1700;17,3033;
201120;1800;16,3508;
201120;1900;15,5825;
201120;2000;14,8142;
201120;2100;14,4967;
201120;2200;13,8183;
201120;2300;13,0392;
201121;0000;12,3317;
201121;0100;11,6208;
201121;0200;11,2575;
201121;0300;10,7342;
201121;0400;9,74583;
201121;0500;9,75417;
201121;0600;10,8633;
