FECHA (YYMMDD);HORA (HHMM);;
150208;0300;5,2;
150208;0400;1,4;
150208;0500;1,3;
150208;0600;1,4;
150208;0700;1,3;
150208;0800;1,2;
150208;0900;2,9;
150208;1000;2,6;
150208;1100;3,4;
150208;1200;5,2;
150208;1300;6,3;
150208;1400;5,2;
150208;1500;5,8;
150208;1600;6,2;
150208;1700;5,6;
150208;1800;4,7;
150208;1900;4,39999;
150208;2000;3,5;
150208;2100;2,3;
150208;2200;3,3;
150208;2300;3,3;
150209;0000;4,3;
150209;0100;3,1;
150209;0200;2,1;
150209;0300;3,7;
150209;0400;2,9;
150209;0500;1,8;
150209;0600;1,3;
150209;0700;1,7;
150209;0800;3,8;
150209;0900;5;
150209;1000;6,5;
150209;1100;7,7;
150209;1200;7,89999;
150209;1300;6,3;
150209;1400;5,3;
150209;1500;5,5;
150209;1600;5,1;
150209;1700;6,6;
150209;1800;4,89999;
150209;1900;4,7;
150209;2000;4,89999;
150209;2100;4,7;
150209;2200;4,7;
150209;2300;5,39999;
150210;0000;6;
150210;0100;5,39999;
150210;0200;3,8;
150210;0300;5,1;
150210;0400;5,2;
150210;0500;4,1;
150210;0600;4,3;
150210;0700;5,2;
150210;0800;5;
150210;0900;4,8;
150210;1000;4,7;
150210;1100;5,2;
150210;1200;5;
150210;1300;6,1;
150210;1400;5,39999;
150210;1500;5,3;
150210;1600;6;
150210;1700;5,7;
150210;1800;4,2;
150210;1900;2,9;
150210;2000;2,3;
150210;2100;2,5;
150210;2200;2,3;
150210;2300;2,2;
150211;0000;2,6;
150211;0100;2,2;
150211;0200;1,9;
150211;0300;2,3;
150211;0400;3,6;
150211;0500;3,9;
150211;0600;4;
150211;0700;4,39999;
150211;0800;3,4;
150211;0900;3;
150211;1000;4,39999;
150211;1100;9,29999;
150211;1200;7,3;
150211;1300;5,3;
150211;1400;5,7;
150211;1500;5,3;
150211;1600;4,5;
150211;1700;4;
150211;1800;3,8;
150211;1900;3,9;
150211;2000;3,1;
150211;2100;3,1;
150211;2200;4,7;
150211;2300;2,9;
150212;0000;3,1;
150212;0100;4,3;
150212;0200;3,8;
150212;0300;2,3;
150212;0400;1,3;
150212;0500;1;
150212;0600;1,2;
150212;0700;1,7;
150212;0800;3,2;
150212;0900;3,1;
150212;1000;3,7;
150212;1100;5,1;
150212;1200;5,5;
150212;1300;5,1;
150212;1400;5;
150212;1500;4,3;
150212;1600;4;
150212;1700;4,39999;
150212;1800;3;
150212;1900;2;
150212;2000;1,3;
150212;2100;1,5;
150212;2200;1,8;
150212;2300;2;
150213;0000;1,8;
150213;0100;1,9;
150213;0200;1,5;
150213;0300;1,5;
150213;0400;1,5;
150213;0500;1,3;
150213;0600;1,3;
150213;0700;0,9;
150213;0800;1,2;
150213;0900;1,2;
150213;1000;1,4;
150213;1100;1,5;
150213;1200;1,6;
150213;1300;1,7;
150213;1400;1,8;
150213;1500;4;
150213;1600;5,2;
150213;1700;4,1;
150213;1800;4;
150213;1900;2,8;
150213;2000;2;
150213;2100;1,3;
150213;2200;1,6;
150213;2300;1,8;
150214;0000;1,5;
150214;0100;1,3;
150214;0200;1,7;
150214;0300;1,3;
150214;0400;1,3;
150214;0500;1,5;
150214;0600;1,2;
150214;0700;1,5;
150214;0800;2;
150214;0900;3,2;
150214;1000;4,8;
150214;1100;5,3;
150214;1200;6,2;
150214;1300;5,8;
150214;1400;5,7;
150214;1500;5,89999;
150214;1600;5,8;
150214;1700;4,7;
150214;1800;3,5;
150214;1900;2,7;
150214;2000;1,5;
150214;2100;1;
150214;2200;1,3;
150214;2300;1,6;
150215;0000;1,2;
150215;0100;1;
150215;0200;1,2;
150215;0300;1,1;
150215;0400;1,4;
150215;0500;1,2;
150215;0600;1,8;
150215;0700;2;
150215;0800;2,6;
150215;0900;2,8;
150215;1000;4,2;
150215;1100;4,8;
150215;1200;4,5;
150215;1300;4,1;
150215;1400;4,39999;
150215;1500;4,6;
150215;1600;4,6;
150215;1700;4,39999;
150215;1800;4,8;
150215;1900;3,9;
150215;2000;3,1;
150215;2100;3,1;
150215;2200;3;
150215;2300;2,7;
150216;0000;3,7;
150216;0100;2,9;
150216;0200;3,6;
150216;0300;5,7;
150216;0400;5,2;
150216;0500;4,1;
150216;0600;4;
150216;0700;3,7;
150216;0800;3,8;
150216;0900;4,5;
150216;1000;4,3;
150216;1100;5,6;
150216;1200;6,1;
150216;1300;5,8;
150216;1400;5,5;
150216;1500;4,6;
150216;1600;3,9;
